NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,21.45,1,Brasil,63,IPCA - Variação mensal,198705,maio 1987
1,Brasil,2,%,19.71,1,Brasil,63,IPCA - Variação mensal,198706,junho 1987
1,Brasil,2,%,9.21,1,Brasil,63,IPCA - Variação mensal,198707,julho 1987
1,Brasil,2,%,4.87,1,Brasil,63,IPCA - Variação mensal,198708,agosto 1987
1,Brasil,2,%,7.78,1,Brasil,63,IPCA - Variação mensal,198709,setembro 1987
1,Brasil,2,%,11.22,1,Brasil,63,IPCA - Variação mensal,198710,outubro 1987
1,Brasil,2,%,15.08,1,Brasil,63,IPCA - Variação mensal,198711,novembro 1987
1,Brasil,2,%,14.15,1,Brasil,63,IPCA - Variação mensal,198712,dezembro 1987
1,Brasil,2,%,18.89,1,Brasil,63,IPCA - Variação mensal,198801,janeiro 1988
1,Brasil,2,%,15.70,1,Brasil,63,IPCA - Variação mensal,198802,fevereiro 1988
1,Brasil,2,%,17.60,1,Brasil,63,IPCA - Variação mensal,198803,março 1988
1,Brasil,2,%,19.29,1,Brasil,63,IPCA - Variação mensal,198804,abril 1988
1,Brasil,2,%,17.42,1,Brasil,63,IPCA - Variação mensal,198805,maio 1988
1,Brasil,2,%,22.00,1,Brasil,63,IPCA - Variação mensal,198806,junho 1988
1,Brasil,2,%,21.91,1,Brasil,63,IPCA - Variação mensal,198807,julho 1988
1,Brasil,2,%,21.59,1,Brasil,63,IPCA - Variação mensal,198808,agosto 1988
1,Brasil,2,%,27.45,1,Brasil,63,IPCA - Variação mensal,198809,setembro 1988
1,Brasil,2,%,25.62,1,Brasil,63,IPCA - Variação mensal,198810,outubro 1988
1,Brasil,2,%,27.94,1,Brasil,63,IPCA - Variação mensal,198811,novembro 1988
1,Brasil,2,%,28.70,1,Brasil,63,IPCA - Variação mensal,198812,dezembro 1988
1,Brasil,2,%,37.49,1,Brasil,63,IPCA - Variação mensal,198901,janeiro 1989
1,Brasil,2,%,16.78,1,Brasil,63,IPCA - Variação mensal,198902,fevereiro 1989
1,Brasil,2,%,6.82,1,Brasil,63,IPCA - Variação mensal,198903,março 1989
1,Brasil,2,%,8.33,1,Brasil,63,IPCA - Variação mensal,198904,abril 1989
