NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,27.51,1,Brasil,69,IPCA - Variação acumulada no ano,198702,fevereiro 1987
1,Brasil,2,%,48.39,1,Brasil,69,IPCA - Variação acumulada no ano,198703,março 1987
1,Brasil,2,%,76.73,1,Brasil,69,IPCA - Variação acumulada no ano,198704,abril 1987
1,Brasil,2,%,114.64,1,Brasil,69,IPCA - Variação acumulada no ano,198705,maio 1987
1,Brasil,2,%,156.95,1,Brasil,69,IPCA - Variação acumulada no ano,198706,junho 1987
1,Brasil,2,%,180.62,1,Brasil,69,IPCA - Variação acumulada no ano,198707,julho 1987
1,Brasil,2,%,194.29,1,Brasil,69,IPCA - Variação acumulada no ano,198708,agosto 1987
1,Brasil,2,%,217.19,1,Brasil,69,IPCA - Variação acumulada no ano,198709,setembro 1987
1,Brasil,2,%,252.77,1,Brasil,69,IPCA - Variação acumulada no ano,198710,outubro 1987
1,Brasil,2,%,305.97,1,Brasil,69,IPCA - Variação acumulada no ano,198711,novembro 1987
1,Brasil,2,%,363.41,1,Brasil,69,IPCA - Variação acumulada no ano,198712,dezembro 1987
1,Brasil,2,%,18.89,1,Brasil,69,IPCA - Variação acumulada no ano,198801,janeiro 1988
1,Brasil,2,%,37.55,1,Brasil,69,IPCA - Variação acumulada no ano,198802,fevereiro 1988
1,Brasil,2,%,61.77,1,Brasil,69,IPCA - Variação acumulada no ano,198803,março 1988
1,Brasil,2,%,92.97,1,Brasil,69,IPCA - Variação acumulada no ano,198804,abril 1988
1,Brasil,2,%,126.58,1,Brasil,69,IPCA - Variação acumulada no ano,198805,maio 1988
1,Brasil,2,%,176.43,1,Brasil,69,IPCA - Variação acumulada no ano,198806,junho 1988
1,Brasil,2,%,237.00,1,Brasil,69,IPCA - Variação acumulada no ano,198807,julho 1988
1,Brasil,2,%,309.76,1,Brasil,69,IPCA - Variação acumulada no ano,198808,agosto 1988
1,Brasil,2,%,422.23,1,Brasil,69,IPCA - Variação acumulada no ano,198809,setembro 1988
1,Brasil,2,%,556.03,1,Brasil,69,IPCA - Variação acumulada no ano,198810,outubro 1988
1,Brasil,2,%,739.33,1,Brasil,69,IPCA - Variação acumulada no ano,198811,novembro 1988
1,Brasil,2,%,980.21,1,Brasil,69,IPCA - Variação acumulada no ano,198812,dezembro 1988
1,Brasil,2,%,37.49,1,Brasil,69,IPCA - Variação acumulada no ano,198901,janeiro 1989
1,Brasil,2,%,60.56,1,Brasil,69,IPCA - Variação acumulada no ano,198902,fevereiro 1989
1,Brasil,2,%,71.51,1,Brasil,69,IPCA - Variação acumulada no ano,198903,março 1989
1,Brasil,2,%,85.80,1,Brasil,69,IPCA - Variação acumulada no ano,198904,abril 1989
1,Brasil,2,%,119.09,1,Brasil,69,IPCA - Variação acumulada no ano,198905,maio 1989
1,Brasil,2,%,181.86,1,Brasil,69,IPCA - Variação acumulada no ano,198906,junho 1989
1,Brasil,2,%,260.05,1,Brasil,69,IPCA - Variação acumulada no ano,198907,julho 1989
1,Brasil,2,%,381.43,1,Brasil,69,IPCA - Variação acumulada no ano,198908,agosto 1989
1,Brasil,2,%,562.25,1,Brasil,69,IPCA - Variação acumulada no ano,198909,setembro 1989
1,Brasil,2,%,825.62,1,Brasil,69,IPCA - Variação acumulada no ano,198910,outubro 1989
1,Brasil,2,%,1268.26,1,Brasil,69,IPCA - Variação acumulada no ano,198911,novembro 1989
1,Brasil,2,%,1972.91,1,Brasil,69,IPCA - Variação acumulada no ano,198912,dezembro 1989
1,Brasil,2,%,67.55,1,Brasil,69,IPCA - Variação acumulada no ano,199001,janeiro 1990
1,Brasil,2,%,194.44,1,Brasil,69,IPCA - Variação acumulada no ano,199002,fevereiro 1990
1,Brasil,2,%,437.02,1,Brasil,69,IPCA - Variação acumulada no ano,199003,março 1990
1,Brasil,2,%,520.37,1,Brasil,69,IPCA - Variação acumulada no ano,199004,abril 1990
1,Brasil,2,%,567.45,1,Brasil,69,IPCA - Variação acumulada no ano,199005,maio 1990
1,Brasil,2,%,645.88,1,Brasil,69,IPCA - Variação acumulada no ano,199006,junho 1990
1,Brasil,2,%,742.25,1,Brasil,69,IPCA - Variação acumulada no ano,199007,julho 1990
1,Brasil,2,%,850.73,1,Brasil,69,IPCA - Variação acumulada no ano,199008,agosto 1990
1,Brasil,2,%,987.73,1,Brasil,69,IPCA - Variação acumulada no ano,199009,setembro 1990
1,Brasil,2,%,1143.92,1,Brasil,69,IPCA - Variação acumulada no ano,199010,outubro 1990
1,Brasil,2,%,1353.03,1,Brasil,69,IPCA - Variação acumulada no ano,199011,novembro 1990
1,Brasil,2,%,1620.97,1,Brasil,69,IPCA - Variação acumulada no ano,199012,dezembro 1990
1,Brasil,2,%,20.75,1,Brasil,69,IPCA - Variação acumulada no ano,199101,janeiro 1991
1,Brasil,2,%,45.77,1,Brasil,69,IPCA - Variação acumulada no ano,199102,fevereiro 1991
1,Brasil,2,%,63.15,1,Brasil,69,IPCA - Variação acumulada no ano,199103,março 1991
1,Brasil,2,%,71.29,1,Brasil,69,IPCA - Variação acumulada no ano,199104,abril 1991
1,Brasil,2,%,84.02,1,Brasil,69,IPCA - Variação acumulada no ano,199105,maio 1991
1,Brasil,2,%,104.61,1,Brasil,69,IPCA - Variação acumulada no ano,199106,junho 1991
1,Brasil,2,%,130.00,1,Brasil,69,IPCA - Variação acumulada no ano,199107,julho 1991
1,Brasil,2,%,165.95,1,Brasil,69,IPCA - Variação acumulada no ano,199108,agosto 1991
1,Brasil,2,%,207.52,1,Brasil,69,IPCA - Variação acumulada no ano,199109,setembro 1991
1,Brasil,2,%,269.73,1,Brasil,69,IPCA - Variação acumulada no ano,199110,outubro 1991
1,Brasil,2,%,362.94,1,Brasil,69,IPCA - Variação acumulada no ano,199111,novembro 1991
1,Brasil,2,%,472.70,1,Brasil,69,IPCA - Variação acumulada no ano,199112,dezembro 1991
1,Brasil,2,%,25.94,1,Brasil,69,IPCA - Variação acumulada no ano,199201,janeiro 1992
1,Brasil,2,%,56.57,1,Brasil,69,IPCA - Variação acumulada no ano,199202,fevereiro 1992
1,Brasil,2,%,90.08,1,Brasil,69,IPCA - Variação acumulada no ano,199203,março 1992
1,Brasil,2,%,127.96,1,Brasil,69,IPCA - Variação acumulada no ano,199204,abril 1992
1,Brasil,2,%,184.63,1,Brasil,69,IPCA - Variação acumulada no ano,199205,maio 1992
1,Brasil,2,%,242.15,1,Brasil,69,IPCA - Variação acumulada no ano,199206,junho 1992
1,Brasil,2,%,316.84,1,Brasil,69,IPCA - Variação acumulada no ano,199207,julho 1992
1,Brasil,2,%,409.13,1,Brasil,69,IPCA - Variação acumulada no ano,199208,agosto 1992
1,Brasil,2,%,534.53,1,Brasil,69,IPCA - Variação acumulada no ano,199209,setembro 1992
1,Brasil,2,%,694.69,1,Brasil,69,IPCA - Variação acumulada no ano,199210,outubro 1992
1,Brasil,2,%,873.41,1,Brasil,69,IPCA - Variação acumulada no ano,199211,novembro 1992
1,Brasil,2,%,1119.10,1,Brasil,69,IPCA - Variação acumulada no ano,199212,dezembro 1992
1,Brasil,2,%,30.35,1,Brasil,69,IPCA - Variação acumulada no ano,199301,janeiro 1993
1,Brasil,2,%,62.91,1,Brasil,69,IPCA - Variação acumulada no ano,199302,fevereiro 1993
1,Brasil,2,%,107.32,1,Brasil,69,IPCA - Variação acumulada no ano,199303,março 1993
1,Brasil,2,%,164.85,1,Brasil,69,IPCA - Variação acumulada no ano,199304,abril 1993
1,Brasil,2,%,238.19,1,Brasil,69,IPCA - Variação acumulada no ano,199305,maio 1993
1,Brasil,2,%,339.88,1,Brasil,69,IPCA - Variação acumulada no ano,199306,junho 1993
1,Brasil,2,%,475.02,1,Brasil,69,IPCA - Variação acumulada no ano,199307,julho 1993
1,Brasil,2,%,664.54,1,Brasil,69,IPCA - Variação acumulada no ano,199308,agosto 1993
1,Brasil,2,%,937.41,1,Brasil,69,IPCA - Variação acumulada no ano,199309,setembro 1993
1,Brasil,2,%,1289.30,1,Brasil,69,IPCA - Variação acumulada no ano,199310,outubro 1993
1,Brasil,2,%,1783.33,1,Brasil,69,IPCA - Variação acumulada no ano,199311,novembro 1993
1,Brasil,2,%,2477.15,1,Brasil,69,IPCA - Variação acumulada no ano,199312,dezembro 1993
1,Brasil,2,%,41.31,1,Brasil,69,IPCA - Variação acumulada no ano,199401,janeiro 1994
1,Brasil,2,%,98.22,1,Brasil,69,IPCA - Variação acumulada no ano,199402,fevereiro 1994
1,Brasil,2,%,182.96,1,Brasil,69,IPCA - Variação acumulada no ano,199403,março 1994
1,Brasil,2,%,303.73,1,Brasil,69,IPCA - Variação acumulada no ano,199404,abril 1994
1,Brasil,2,%,481.49,1,Brasil,69,IPCA - Variação acumulada no ano,199405,maio 1994
1,Brasil,2,%,757.29,1,Brasil,69,IPCA - Variação acumulada no ano,199406,junho 1994
1,Brasil,2,%,815.93,1,Brasil,69,IPCA - Variação acumulada no ano,199407,julho 1994
1,Brasil,2,%,832.97,1,Brasil,69,IPCA - Variação acumulada no ano,199408,agosto 1994
1,Brasil,2,%,847.24,1,Brasil,69,IPCA - Variação acumulada no ano,199409,setembro 1994
1,Brasil,2,%,872.06,1,Brasil,69,IPCA - Variação acumulada no ano,199410,outubro 1994
1,Brasil,2,%,899.37,1,Brasil,69,IPCA - Variação acumulada no ano,199411,novembro 1994
